time,ax,ay,az,aT
0.0050,-0.0112,0.0159,0.0539,0.057
0.0230,-0.0721,-0.0435,-0.1818,0.200
0.0400,0.0073,-0.0086,-0.1048,0.105
0.0590,-0.1270,0.0126,-0.1444,0.193
0.0780,0.0337,0.0125,0.1407,0.145
0.0970,-0.0404,-0.0186,-0.1674,0.173
0.1170,0.0154,-0.0503,-0.1025,0.115
0.1350,-0.0322,-0.0186,-0.0544,0.066
0.1540,-0.0443,-0.0911,-0.1916,0.217
0.1730,-0.0850,0.0961,-0.0965,0.161
0.1920,0.0086,0.0518,-0.1254,0.136
0.2110,-0.0473,-0.0664,-0.1446,0.166
0.2300,0.0379,-0.0627,0.0744,0.104
0.2490,-0.0350,-0.0057,-0.2734,0.276
0.2680,-0.0838,-0.0252,-0.0063,0.088
0.2870,0.0129,0.0383,-0.0484,0.063
0.3060,-0.0895,-0.0723,-0.3684,0.386
0.3250,0.0072,0.0214,0.0587,0.063
0.3440,0.0393,0.0047,-0.0893,0.098
0.3630,-0.1285,-0.0042,-0.0845,0.154
0.3820,0.0671,-0.0673,-0.1518,0.179
0.4010,-0.0939,-0.0176,-0.2361,0.255
0.4200,0.0105,-0.0329,0.0599,0.069
0.4390,-0.0892,0.0494,-0.0749,0.127
0.4580,0.0268,-0.0336,-0.2469,0.251
0.4780,-0.0137,-0.0663,0.0816,0.106
0.4960,0.0570,0.0134,-0.2350,0.242
0.5150,-0.1359,-0.0054,0.0935,0.165
0.5340,-0.0075,-0.0164,-0.3119,0.312
0.5530,-0.0487,-0.0224,-0.0435,0.069
0.5720,0.0428,0.0585,0.0803,0.108
0.5910,-0.0649,0.0351,-0.2531,0.264
0.6100,0.0085,-0.0615,-0.0774,0.099
0.6400,-0.0314,-0.0114,-0.0666,0.074
0.6480,-0.0189,-0.0623,-0.4516,0.456
0.6670,-0.1214,-0.0122,0.0309,0.126
0.6860,0.0198,0.0259,0.0994,0.105
0.7050,-0.0662,-0.0130,-0.1654,0.179
0.7240,0.0005,-0.0259,-0.2207,0.222
0.7430,-0.0590,-0.0654,-0.0570,0.105
0.7620,0.0127,-0.0330,-0.1148,0.120
0.7810,-0.0841,0.0560,-0.2447,0.265
0.8000,-0.0429,-0.0047,-0.0534,0.069
0.8190,-0.0575,0.0193,-0.0714,0.094
0.8380,0.0225,-0.0382,-0.1160,0.124
0.8580,-0.0346,-0.0229,-0.2917,0.295
0.8760,-0.0568,0.0207,0.0175,0.063
0.8950,-0.0852,-0.0292,-0.0776,0.119
0.9140,-0.0949,-0.0840,-0.2544,0.284
0.9330,0.0306,0.0701,-0.0727,0.106
0.9520,0.0365,-0.0492,-0.0053,0.062
0.9710,-0.0834,0.0102,-0.1498,0.172
0.9900,-0.0015,-0.0565,-0.2171,0.224
1.0090,-0.0993,0.0338,-0.1124,0.154
1.0270,0.0136,-0.0323,-0.0871,0.094
1.0470,-0.1013,0.0021,-0.0510,0.113
1.0660,-0.0180,0.0039,-0.2412,0.242
1.0840,0.0085,-0.0102,-0.0114,0.017
1.1040,0.0013,-0.0895,-0.0307,0.095
1.1230,-0.0883,0.0421,-0.1775,0.203
1.1410,-0.0624,0.0022,-0.1125,0.129
1.1600,-0.0435,-0.0208,-0.0319,0.058
1.1800,0.0024,-0.0252,-0.0560,0.061
1.1990,-0.0628,-0.0234,-0.2341,0.243
1.2180,0.0169,-0.0365,-0.1438,0.149
1.2370,-0.0551,0.0071,0.0054,0.056
1.2550,-0.0743,-0.0316,-0.2569,0.269
1.2750,-0.0386,-0.0217,-0.0884,0.099
1.2930,0.0330,0.0570,-0.0571,0.087
1.3120,-0.0307,-0.0104,-0.2376,0.240
1.3310,-0.0951,-0.0607,-0.1426,0.182
1.3510,-0.0354,-0.0840,-0.1775,0.200
1.3690,0.0479,0.0389,-0.1221,0.137
1.3880,-0.0801,0.0535,-0.1486,0.177
1.4070,-0.0697,-0.0312,-0.1438,0.163
1.4270,-0.0376,-0.0316,-0.0343,0.060
1.4460,-0.0206,-0.1217,-0.2100,0.244
1.4680,0.0117,0.0367,-0.2148,0.218
1.4840,-0.1016,0.0393,-0.0716,0.130
1.5030,-0.0336,-0.0048,-0.0572,0.067
1.5220,-0.0477,-0.0423,-0.1126,0.129
1.5410,0.0228,-0.0594,-0.2053,0.215
1.5620,-0.0004,-0.0338,-0.0345,0.048
1.5800,-0.1070,0.0281,-0.1560,0.191
1.5990,-0.0181,-0.0313,-0.2173,0.220
1.6170,-0.0562,-0.0100,-0.1187,0.132
1.6360,-0.0231,-0.0603,-0.2053,0.215
1.6550,-0.0179,0.0016,0.0233,0.029
1.6740,-0.0386,-0.0224,-0.2679,0.272
1.6930,-0.0547,0.0064,-0.1055,0.119
1.7120,0.0257,-0.0391,-0.0766,0.090
1.7310,-0.0796,0.0130,-0.2114,0.226
1.7510,-0.0239,0.0093,-0.1223,0.125
1.7730,-0.0539,0.0082,-0.0574,0.079
1.7880,0.0169,-0.1037,-0.1332,0.170
1.8070,-0.0563,0.0084,-0.2390,0.246
1.8260,-0.0471,0.0147,-0.0742,0.089
1.8480,-0.0016,0.0706,-0.0995,0.122
1.8650,-0.0763,-0.0571,-0.1849,0.208
1.8840,-0.0489,-0.1005,-0.3016,0.322
1.9020,-0.0279,-0.0395,0.0653,0.081
1.9200,0.0080,0.0975,-0.1633,0.190
1.9390,-0.0362,-0.0168,-0.2668,0.270
1.9590,-0.0335,-0.0098,-0.1284,0.133
1.9780,-0.0673,-0.0504,-0.1404,0.164
1.9990,-0.0136,-0.0385,-0.0671,0.079
2.0150,-0.0193,0.0188,-0.1248,0.128
2.0350,-0.0596,0.0113,-0.2559,0.263
2.0550,-0.0466,-0.0188,-0.1055,0.117
2.0740,-0.0022,-0.0176,-0.2018,0.203
2.0910,-0.0640,0.0122,-0.0791,0.102
2.1110,-0.0390,-0.0353,-0.2439,0.250
2.1310,-0.0490,0.0083,-0.1441,0.152
2.1480,-0.0173,-0.0302,-0.1201,0.125
2.1680,-0.0322,-0.0446,-0.1561,0.166
2.1870,-0.0560,0.0281,-0.2079,0.217
2.2060,-0.0558,-0.0457,-0.2355,0.246
2.2240,-0.0179,-0.0448,-0.1995,0.205
2.2440,-0.0594,0.0504,-0.0323,0.084
2.2630,-0.0419,-0.0033,-0.1682,0.173
2.2820,-0.0774,-0.0286,-0.2813,0.293
2.3010,-0.0656,-0.0571,-0.2921,0.305
2.3210,-0.0302,-0.0485,-0.0154,0.059
2.3400,-0.0871,0.0314,-0.1477,0.174
2.3580,-0.0056,0.0097,-0.2019,0.202
2.3760,-0.0643,0.0332,-0.1514,0.168
2.3960,-0.0427,-0.0855,-0.2308,0.250
2.4160,-0.0113,-0.0448,-0.0888,0.100
2.4340,-0.0357,-0.0381,-0.1538,0.162
2.4530,-0.0001,-0.0284,-0.2332,0.235
2.4720,-0.0535,0.0405,-0.1754,0.188
2.4900,-0.1032,0.0472,-0.0371,0.119
2.5090,0.0100,-0.0375,-0.2632,0.266
2.5290,-0.0479,-0.0874,-0.2356,0.256
